Country (Country),Commodity (Commodity),Trade flow (Trade flow),Unit,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Cayman Islands,"Yellowfin tuna, frozen, nei",Exports,Tonnes,...,...,...,...,602 F,1460 F,100 F,...,...,...,...,...,...,...,...,...,...,...,...,...,51 F,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Cayman Islands,"Yellowfin tuna, frozen, nei",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2 F,6 F,-,-,-,8 F,-,-,-,-
Cuba,"Alaska pollock fillets, frozen",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,197 F,82 F,223 F,168 F,154 F
Cuba,"Alaska pollock, meat, whether or not minced, frozen",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,8 F,-,-,-,-,-
Cuba,"Albacore (=Longfin tuna), fresh or chilled",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 F,-,-
Cuba,"Albacore (=Longfin tuna), frozen, nei",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 0,2,...,46,...,...,...,...,4,5,2,...,...,...,0 F,0 F,0 F
Cuba,"Anchovies minced, prepared or preserved",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 F,0 F,0 F,0 F,0 F
Cuba,"Anchovies, prepared or preserved, not minced",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,6,14,19,33,46,32,39,39,23,21,15,2,0 0,0 F,250 F,0 F,2 F,-
Cuba,"Anchovies, salted or in brine",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Cuba,"Angler (=monk), frozen",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,3 F,21 F,5 F,16 F,21 F,28 F
Cuba,"Argentinian hake fillets, frozen",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,4 F,61 F,384 F
Cuba,"Argentinian hake, frozen",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,33 F,11 F,14 F,23 F,20 F
Cuba,"Atlantic (Thunnus thynnus) and Pacific (Thunnus orientalis) bluefin tuna, frozen",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,3 F,-,-,-,-,-
Cuba,"Atlantic and Danube salmons, fresh or chilled",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 F,-
Cuba,"Atlantic cod, fresh or chilled",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 F,-,-,-,-
Cuba,"Atlantic cod, frozen",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1 F,1 F,...,1 F,1 F,2 F
Cuba,"Atlantic cod, meat, frozen",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1 F,1 F,...,...,...,0 F
Cuba,"Atlantic mackerel prepared or preserved, not minced",Exports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Cuba,"Atlantic mackerel prepared or preserved, not minced",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,17,1,599,130,0 0,0 0,1,41,1,0 0,...,...,0 0,0 F,1 F,1 F,23 F,0 F
Cuba,"Atlantic mackerel, fresh or chilled",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,60,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Cuba,"Atlantic mackerel, frozen",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,24 F
Cuba,"Atlantic salmon and Danube salmon, frozen",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,18,18,2,40,30,10,...,...,...,3,10 F,20 F,5 F,13 F,71 F,43 F
Cuba,"Bonito (Sarda spp.), not minced, prepared or preserved, nei",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 F,0 F,2 F,1 F,1 F
Cuba,"Bonito (Sarda spp.), not minced, prepared or preserved, nei",Production,Tonnes,700,900,700,800,955,759,906,1129,936,859,1020,952,972,910,975,850,800 F,760,448,407,389,17,352,127,443,731,14,7,15,70,641,274,401,...,48,...,...,...,...,...,...
Cuba,"Cape hake fillets, frozen",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2 F,...,0 F,-,-,-
Cuba,"Cape hake, frozen",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,7 F,11 F,6 F,...,1 F,7 F
Cuba,"Capelin, frozen",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,20 F,-,-,-,-,-
Cuba,Carps live,Exports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,9,8,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-
Cuba,"Carps, eels and snakeheads, fillets, frozen",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,72 F,7 F,12 F,2 F
Cuba,"Catfish fillets, fresh or chilled",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,24 F
Cuba,"Catfish fillets, frozen",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,3 F,...,5 F,51 F,121 F,100 F
Cuba,Caviar and caviar substitutes,Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,3,1,1,1,1,4,9,5,1,1,0 0,0 0,-,-,-,-,-,-
Cuba,Caviar substitutes,Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1 F,0 F,0 F,0 F,1 F,0 F
Cuba,"Chilean hake fillets, fresh or chilled",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1 F,-,-,-,-
Cuba,"Chub mackerel prepared or preserved, not minced",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,184 F
Cuba,"Clupeoids nei, fillets, dried, salted or in brine",Imports,Tonnes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Cuba,"Cod nei fillets, dried, salted or in brine",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 F,1 F,-,-,-
Cuba,"Cod nei, fillets, frozen",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1 F,22 F,12 F,33 F,36 F,289 F
Cuba,"Cod, salted and dried (klipfish)",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 F,1 F,-,-
Cuba,"Cods nei, dried,  whether or not salted",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,14,74,26,13,12,13,6,-,-,1,-,-,-,-,-,-,-,-
Cuba,"Cods nei, fillets, fresh or chilled",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,4 F,-,-,-,-
Cuba,"Cods nei, frozen",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,5,10,7,6,8,16,39,42,39,-,-,-,-,-,-,-,-,-
Cuba,"Cods nei, salted or in brine",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 0,0 0,-,-,-,6,4,1,7,4,0 0,-,-,-,-,-,-
Cuba,"Cods, fresh or chilled, nei",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,3,...,0 0,...,...,...,...,...,...,...,...,...,...,...,0 F,-
Cuba,"Cods, not minced, prepared or preserved",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1 F,1 F,...,8 F
Cuba,"Common sole, fresh or chilled",Exports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 0,-,-,-,-,-
Cuba,"Common sole, fresh or chilled",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,-,0 0,-,0 0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Cuba,"Common sole, frozen",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1,3,1,1,2,1,0 0,0 0,...,0 0,0 0,...,2 F,0 F,0 F,0 F,0 F,0 F
Cuba,Eels and elvers live,Exports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 0,0 0,0 0,0 0,0 0,0 0,...,...,...,1,...,...,3 F,13 F,5 F,3 F,16 F,0 F
Cuba,"Eels, fresh or chilled",Exports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 0,0 0,0 0,0 0,-,-,-,-,-,-,-,-,-,-,-,-
Cuba,"Eels, fresh or chilled",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 0,-,-,-,-,-,-,-,-,-,-,-,-,-
Cuba,"Eels, frozen",Exports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 0,...,...,1,0 0,0 0,1 F,0 F,-,-,-,-
Cuba,"Eels, frozen",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1,0 0,0 0,-,-,0 0,-,-,-,-,-,-,-,-,-
Cuba,"European sardine, frozen",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,26 F,26 F,14 F,27 F,24 F
Cuba,"European sardine, prepared or preserved, not minced, in oil",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 F,0 F,1 F,0 F,1 F
Cuba,"European sardine, prepared or preserved, not minced, nei",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 F,0 F,...,239 F
Cuba,"Fish body oils, nei",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,17,54,1,...,...,...,...,...,...,...,...,...,1 F,3 F,2 F,...,2 F,0 F
Cuba,"Fish dried, whether or not salted, nei",Exports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1,1,1,2,2,1,2,2,2,1,...,...,...,...,...,...
Cuba,"Fish dried, whether or not salted, nei",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1,-,-,-,-,-,-,-,-,-,0 0,-,-,-,-,-,-,-
Cuba,"Fish fillets, dried, salted or in brine, nei",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 0,...,0 0,1,0 0,0 0,...,...,...,...,...,0 0,108 F,-,-,-,-,-
Cuba,"Fish fillets, fresh or chilled, nei",Exports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,18,3,-,14,-,-,-,-,0 0,-,-,-,-,-,-,-,-,-
Cuba,"Fish fillets, fresh or chilled, nei",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,6,19,25,4,4,...,0 0,0 0,...,...,...,...,104 F,...,...,...,0 F,-
Cuba,"Fish fillets, frozen, nei",Exports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2,7,-,1,-,-,55,1,0 0,1,-,-,-,-,-,-,-,-
Cuba,"Fish fillets, frozen, nei",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1517,971,1538,1176,1185,1179,1838,2423,2264,...,...,...,429 F,75 F,127 F,84 F,102 F,67 F
Cuba,"Fish fillets, frozen, nei",Production,Tonnes,1900,2300,3300,3000,1540,638,2645,3272,4771,5381,6510,5899,4892,2649,1645,389,300 F,307,198,291,856,775,678,567,578,409,66,235,206,287,168,278,1138,724,165,1215,1245,2953,1886,1600 F,1500 F
Cuba,"Fish for culture incl. ova, fingerlings etc.",Exports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 F,0 F,0 F,-,-
Cuba,"Fish heads, tail, maws etc., dried, salted, or in brine",Exports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 F,-
Cuba,"Fish live, nei",Exports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 0,6,1,0 0,...,0 0,...,...,0 0,9,11,10,5 F,0 F,0 F,0 F,-,-
Cuba,"Fish live, nei",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 0,14,20,28,13,-,-,-,-,-,-,-,-,-,-,-,-,-
Cuba,"Fish liver oils, nei",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,3,1,0 0,0 0,1,...,...,1,0 0,0 0,...,...,...,...,...,4 F,0 F
Cuba,"Fish livers, dried, salted or in brine",Exports,Tonnes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Cuba,"Fish meat, whether or not minced, frozen, nei",Exports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,4,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Cuba,"Fish meat, whether or not minced, frozen, nei",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,44,331,210,45,59,32,74,43,84,...,...,...,...,112 F,...,...,97 F,105 F
Cuba,"Fish minced (=surimi), frozen",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,4 F,-,-,-,-,-
Cuba,"Fish minced nei, in airtight containers prepared or preserved",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,8 F,-,-,550 F,559 F
Cuba,"Fish minced nei, prepared or preserved",Exports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,7,79,-,49,4,1,-,-,-,-,-,-,-,-,-,-,-
Cuba,"Fish minced nei, prepared or preserved",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,9862,20253,12561,2513,1109,1093,441,125,91,299,76,73,65 F,132 F,294 F,167 F,66 F,82 F
Cuba,"Fish nei, dried and salted",Imports,Tonnes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Cuba,"Fish nei, prepared or preserved, not minced",Exports,Tonnes,680,1326,1051,1082,913,600,54,814,538,749,555,442,688,550,581,370,459,243,379,427,295,229,...,59,...,...,...,...,...,...,...,...,...,...,...,...,...,...,8 F,-,-
Cuba,"Fish nei, prepared or preserved, not minced",Imports,Tonnes,9000,5300,...,...,4570,5225,6737,6249,3036,17229,12763,10248,15434,11222,10251,5723,...,...,...,88,...,...,4483,95,309,479,162,49,1,674,1714,3,3,15,233,275 F,1464 F,108 F,88 F,128 F,88 F
Cuba,"Fish nei, salted or in brine",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 0,1,1,-,-,1302,...,...,...,...,...,-,-,-,-,-
Cuba,"Fish nei, salted or in brine",Production,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,255,170,396,285,366,272,488,277,176,3,44,32,8,-,-,-,-,27,306,57,303,23,20 F,10 F
Cuba,"Fish nei, smoked",Exports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 0,0 0,-,-,-,2,1,2,2,...,...,...,...,...,...,...,...
Cuba,"Fish nei, smoked",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1,2,2,0 0,0 0,4,0 0,1,1,0 0,0 0,0 0,...,...,0 F,0 F,...,0 F
Cuba,"Fish not minced, prep. or pres., in airtight containers",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 F,-,-
Cuba,"Fish, dried, salted or smoked",Imports,Tonnes,7300,6000,...,...,7930,10655,5510,7680,4987,1771,66,1136,1981,1213,...,...,...,...,...,...,...,...,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Cuba,"Fish, fresh or chilled, nei",Exports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,4,...,2,16,20,18,0 0,1,0 0,-,-,-,-,-,-,-,-,-
Cuba,"Fish, fresh or chilled, nei",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,58,0 0,0 0,-,0 0,-,0 0,-,-,-,-,3,...,-,-,-,-,-
Cuba,"Fish, fresh, chilled or frozen",Exports,Tonnes,5452,8593,26727,26041,34458,17279,14871,22753,15228,21276,23543,11485,12667,9989,8286,5205,87,37,221,2138,1668,459,323,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Cuba,"Fish, fresh, chilled or frozen",Imports,Tonnes,27500,26300,42203,34778,28395,32002,29309,33646,22402,39079,35130,40916,31371,30889,32288,8953,32672,52366,45610,52485,34759,28398,31136,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Cuba,"Fish, frozen, nei",Exports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,207,91,473,1090,817,4333,230,493,576,378,413,483,363 F,340 F,360 F,-,-,-
Cuba,"Fish, frozen, nei",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1064,5090,2733,10066,21790,49666,35516,13010,18119,20618,4116,8696,4000 F,218 F,30 F,18 F,49 F,43 F
Cuba,"Fish, sauce",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2 F,-
Cuba,"Fishmeal fit for human consumption, nei",Exports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 0,0 0,-,0 0,0 0,0 0,0 0,0 0,...,...,...,...,...,...,...,...
Cuba,"Fishmeal fit for human consumption, nei",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 0,...,1,0 0,...,...,1,1,1,11,4,...,...,...,...,100 F,-,-
Cuba,"Fishmeals, nei",Exports,Tonnes,...,...,...,...,...,...,...,...,...,426,-,-,-,-,-,-,-,-,-,-,104,43,177,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Cuba,"Fishmeals, nei",Imports,Tonnes,31900 F,38729,60741,56627,88440,52962,15780,20110,12000 F,12000 F,24711,23193,25355,...,...,...,...,...,...,...,...,...,...,5731,3718,3064,499,535,445,612,318,520,571,217,365,517 F,607 F,525 F,1043 F,568 F,486 F
Cuba,"Fishmeals, nei",Production,Tonnes,9300,7300,8900,4900,6180,5470,7813,6029,5974,9317,10388,6753,9500,6750,5636,3799,100 F,39,...,...,...,...,...,...,...,...,...,...,4500 F,4600 F,4800 F,5000 F,5000 F,4800 F,4800 F,5000 F,5000 F,5000 F,5000 F,5000 F,5500 F
Cuba,"Flatfish nei, fillets, frozen",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2 F,6 F,2 F,2 F,1 F
Cuba,"Flatfish nei, frozen",Exports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 0,1,0 0,0 0,-,-,-,-,-,-,-,-,-,-,-,-
Cuba,"Flatfish nei, frozen",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1,1,...,4,3,...,...,...,...,20,14,10 F,25 F,-,-,-,-
Cuba,"Flatfish, fresh or chilled, nei",Exports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 0,7,49,304,429,19,-,-,-,-,-,-,-,-,-,-,-,-
Cuba,"Flatfish, fresh or chilled, nei",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 0,0 0,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
Cuba,"Freshwater fish fillets, nei, frozen",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,77 F,53 F,-,-,-,-
Cuba,"Freshwater fish meat, whether or not minced, frozen, nei",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2 F,1 F,2 F,-,-
Cuba,"Freshwater fish nei, frozen",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1 F
Cuba,"Gadiformes fillets, fresh or chilled, nei",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1 F,1 F,-,-,-
Cuba,"Gadiformes fillets, frozen, nei",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,20 F,-,-,-
Cuba,"Gadiformes nei, frozen",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,3 F,-
Cuba,"Gadiformes, fillets, dried, salted or in brine, not smoked",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,333 F,82 F,...,1 F,-
Cuba,"Gadiformes, fresh or chilled, nei",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1 F,4 F
Cuba,"Haddock, frozen",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Cuba,"Hake meat, frozen",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 0,0 F,0 F,...,0 F,0 F
Cuba,"Hake nei fillets, frozen",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,401 F,511 F,217 F,446 F,-
